932562923,B120459836
932562924,B120459837
932562925,B120459838
932562926,B120459839
932562927,B120459840
932562928,B120459841
932562929,B120459842
932562930,B120459843
932562931,B120459844
932562932,B120459845
932562933,B120459846
932562934,B120459847
932562935,B120459848
932562936,B120459849
932562937,B120459850
932562938,B120459851
932562939,B120459852
932562940,B120459853
932562941,B120459854
932562942,B120459855
932562943,B120459856
932562944,B120459857
932562945,B120459858
932562946,B120459859
932562947,B120459860
932562948,B120459861
932562949,B120459862
932562950,B120459863
932562951,B120459864
932562952,B120459865
932562953,B120459866
932562954,B120459867
932562955,B120459868
932562956,B120459869
932562957,B120459870
932562958,B120459871
932562959,B120459872
932562960,B120459873
932562961,B120459874
932562962,B120459875
932562963,B120459876
932562964,B120459877
932562965,B120459878
932562966,B120459879
932562967,B120459880
932562968,B120459881
932562969,B120459882
932562970,B120459883
932562971,B120459884
932562972,B120459885
932562973,B120459886
932562974,B120459887
932562975,B120459888
932562976,B120459889
932562977,B120459890
932562978,B120459891
932562979,B120459892
932562980,B120459893
932562981,B120459894
932562982,B120459895
932562983,B120459896
932562984,B120459897
932562985,B120459898
932562986,B120459899
932562987,B120459900
932562988,B120459901
932562989,B120459902
932562990,B120459903
932562991,B120459904
932562992,B120459905
932562993,B120459906
932562994,B120459907
932562995,B120459908
932562996,B120459909
932562997,B120459910
932562998,B120459911
932562999,B120459912
932563000,B120459913
932563001,B120459914
932563002,B120459915
932563003,B120459916
932563004,B120459917
932563005,B120459918
932563006,B120459919
932563007,B120459920
932563008,B120459921
932563009,B120459922
932563010,B120459923
932563011,B120459924
932563012,B120459925
932563013,B120459926
932563014,B120459927
932563015,B120459928
932563016,B120459929
932563017,B120459930
932563018,B120459931
932563019,B120459932
932563020,B120459933
932563021,B120459934
932563022,B120459935
932563023,B120459936
932563024,B120459937
932563025,B120459938
932563026,B120459939
932563027,B120459940
932563028,B120459941
932563029,B120459942
932563030,B120459943
932563031,B120459944
932563032,B120459945
932563033,B120459946
932563034,B120459947
932563035,B120459948
932563036,B120459949
932563037,B120459950
932563038,B120459951
932563039,B120459952
932563040,B120459953
932563041,B120459954
932563042,B120459955
932563043,B120459956
932563044,B120459957
932563045,B120459958
932563046,B120459959
932563047,B120459960
932563048,B120459961
932563049,B120459962
932563050,B120459963
932563051,B120459964
932563052,B120459965
932563053,B120459966
932563054,B120459967
932563055,B120459968
932563056,B120459969
932563057,B120459970
932563058,B120459971
932563059,B120459972
932563060,B120459973
932563061,B120459974
932563062,B120459975
932563063,B120459976
932563064,B120459977
932563065,B120459978
932563066,B120459979
932563067,B120459980
932563068,B120459981
932563069,B120459982
932563070,B120459983
932563071,B120459984
932563072,B120459985
932563073,B120459986
932563074,B120459987
932563075,B120459988
932563076,B120459989
932563077,B120459990
932563078,B120459991
932563079,B120459992
932563080,B120459993
932563081,B120459994
932563082,B120459995
932563083,B120459996
932563084,B120459997
932563085,B120459998
932563086,B120459999
932563087,B120460000
932563088,B120460001
932563089,B120460002
932563090,B120460003
932563091,B120460004
932563092,B120460005
932563093,B120460006
932563094,B120460007
932563095,B120460008
932563096,B120460009
932563097,B120460010
932563098,B120460011
932563099,B120460012
932563100,B120460013
932563101,B120460014
932563102,B120460015
932563103,B120460016
932563104,B120460017
932563105,B120460018
932563106,B120460019
932563107,B120460020
932563108,B120460021
932563109,B120460022
932563110,B120460023
932563111,B120460024
932563112,B120460025
932563113,B120460026
932563114,B120460027
932563115,B120460028
932563116,B120460029
932563117,B120460030
932563118,B120460031
932563119,B120460032
932563120,B120460033
932563121,B120460034
932563122,B120460035
932563123,B120460036
932563124,B120460037
932563125,B120460038
932563126,B120460039
932563127,B120460040
932563128,B120460041
932563129,B120460042
932563130,B120460043
932563131,B120460044
932563132,B120460045
932563133,B120460046
932563134,B120460047
932563135,B120460048
932563136,B120460049
932563137,B120460050
932563138,B120460051
932563139,B120460052
932563140,B120460053
932563141,B120460054
932563142,B120460055
932563143,B120460056
932563144,B120460057
932563145,B120460058
932563146,B120460059
932563147,B120460060
932563148,B120460061
932563149,B120460062
932563150,B120460063
932563151,B120460064
932563152,B120460065
932563153,B120460066
932563154,B120460067
932563155,B120460068
932563156,B120460069
932563157,B120460070
932563158,B120460071
932563159,B120460072
932563160,B120460073
932563161,B120460074
932563162,B120460075
932563163,B120460076
932563164,B120460077
932563165,B120460078
932563166,B120460079
932563167,B120460080
932563168,B120460081
932563169,B120460082
932563170,B120460083
932563171,B120460084
932563172,B120460085
932563173,B120460086
932563174,B120460087
932563175,B120460088
932563176,B120460089
932563177,B120460090
932563178,B120460091
932563179,B120460092
932563180,B120460093
932563181,B120460094
932563182,B120460095
932563183,B120460096
932563184,B120460097
932563185,B120460098
932563186,B120460099
932563187,B120460100
932563188,B120460101
932563189,B120460102
932563190,B120460103
932563191,B120460104
932563192,B120460105
932563193,B120460106
932563194,B120460107
932563195,B120460108
932563196,B120460109
932563197,B120460110
932563198,B120460111
932563199,B120460112
932563200,B120460113
932563201,B120460114
932563202,B120460115
932563203,B120460116
932563204,B120460117
932563205,B120460118
932563206,B120460119
932563207,B120460120
932563208,B120460121
932563209,B120460122
932563210,B120460123
932563211,B120460124
932563212,B120460125
932563213,B120460126
932563214,B120460127
932563215,B120460128
932563216,B120460129
932563217,B120460130
932563218,B120460131
932563219,B120460132
932563220,B120460133
932563221,B120460134
932563222,B120460135
932563223,B120460136
932563224,B120460137
932563225,B120460138
932563226,B120460139
932563227,B120460140
932563228,B120460141
932563229,B120460142
932563230,B120460143
932563231,B120460144
932563232,B120460145
932563233,B120460146
932563234,B120460147
932563235,B120460148
932563236,B120460149
932563237,B120460150
932563238,B120460151
932563239,B120460152
932563240,B120460153
932563241,B120460154
932563242,B120460155
932563243,B120460156
932563244,B120460157
932563245,B120460158
932563246,B120460159
932563247,B120460160
932563248,B120460161
932563249,B120460162
932563250,B120460163
932563251,B120460164
932563252,B120460165
932563253,B120460166
932563254,B120460167
932563255,B120460168
932563256,B120460169
932563257,B120460170
932563258,B120460171
